# Annual means for COS
# Calculated from NOAA/GML data.
# Flask pair means, in situ hourly data, and monthly means available through GML's website.
# https://gml.noaa.gov/hats/data.html
#
# Annual means computed from Jan 1 to Dec 31.
#
# Contact:
#   Stephen Montzka: Stephen.Montzka@noaa.gov
#   Isaac Vimont: Isaac.Vimont@noaa.gov
#   Geoff Dutton: Geoff.Dutton@noaa.gov
#
# Semi-hemispheric means:
#   HN: lat ≥ 30°N
#   LN: 0° ≤ lat < 30°N
#   LS: −30° < lat < 0°
#   HS: lat ≤ −30°N
# Global mean: average of the four semi-hemispheric means
# Data format:
#   year, HN, LN, LS, HS, Global
#
# Data source: NOAA Global Monitoring Laboratory
#   https://gml.noaa.gov/hats/data.html
#
# Data file: COS_annual_means.csv
# Generated on: 2026-06-12 10:46:33
#
year,HN,LN,LS,HS,Global
2000,NaN,NaN,NaN,NaN,NaN
2001,477.615,497.765,490.913,487.145,488.359
2002,474.967,489.458,504.682,482.645,487.938
2003,481.510,499.486,498.618,485.619,491.308
2004,477.164,500.255,501.874,486.656,491.487
2005,475.464,505.411,501.370,489.684,492.982
2006,481.672,507.755,505.446,491.337,496.553
2007,486.215,516.398,503.003,494.388,500.001
2008,484.707,509.343,508.383,492.779,498.803
2009,474.554,497.534,497.033,491.751,490.218
2010,481.235,509.530,506.010,489.657,496.608
2011,483.521,505.049,507.431,490.346,496.587
2012,479.955,509.303,512.111,494.588,498.989
2013,483.029,513.871,509.902,497.025,500.957
2014,487.891,514.547,504.238,493.513,500.047
2015,479.869,511.394,500.339,497.218,497.205
2016,484.482,512.113,512.746,504.389,503.433
2017,474.960,505.618,500.532,498.955,495.016
2018,469.774,499.886,500.252,493.053,490.741
2019,458.980,496.019,492.381,487.354,483.684
2020,453.696,487.281,483.967,485.557,477.625
2021,449.395,486.317,479.184,480.140,473.759
2022,446.663,483.484,480.003,477.231,471.846
2023,454.296,481.079,481.961,479.259,474.149
2024,452.583,485.529,492.451,485.211,478.944
2025,454.952,487.166,491.572,483.120,479.202
