# Annual means for H1301
# Calculated from NOAA/GML data.
# Flask pair means, in situ hourly data, and monthly means available through GML's website.
# https://gml.noaa.gov/hats/data.html
#
# Contact:
#   Stephen Montzka: Stephen.Montzka@noaa.gov
#   Isaac Vimont: Isaac.Vimont@noaa.gov
#   Geoff Dutton: Geoff.Dutton@noaa.gov
#
# Semi-hemispheric means:
#   HN: lat ≥ 30°N
#   LN: 0° ≤ lat < 30°N
#   LS: −30° < lat < 0°
#   HS: lat ≤ −30°N
# Global mean: average of the four semi-hemispheric means
# Data format:
#   year, HN, LN, LS, HS, Global
#
# Data source: NOAA Global Monitoring Laboratory
#   https://gml.noaa.gov/hats/data.html
#
# Data file: H1301_annual_means.csv
# Generated on: 2025-07-28 10:53:49
#
year,HN,LN,LS,HS,Global
2004,NaN,NaN,NaN,NaN,NaN
2005,NaN,NaN,NaN,NaN,NaN
2006,NaN,NaN,NaN,NaN,NaN
2007,NaN,NaN,NaN,NaN,NaN
2008,3.204,3.172,3.130,3.109,3.154
2009,3.215,3.202,3.159,3.137,3.178
2010,3.240,3.218,3.180,3.161,3.200
2011,3.258,3.250,3.212,3.185,3.226
2012,3.282,3.260,3.219,3.213,3.244
2013,3.329,3.304,3.269,3.264,3.291
2014,3.340,3.331,3.299,3.277,3.312
2015,3.342,3.328,3.307,3.282,3.315
2016,3.352,3.337,3.304,3.286,3.320
2017,3.350,3.336,3.310,3.292,3.322
2018,3.352,3.335,3.309,3.294,3.323
2019,3.361,3.354,3.329,3.305,3.337
2020,3.351,3.335,3.313,3.293,3.323
2021,3.350,3.339,3.312,3.298,3.325
2022,3.363,3.349,3.324,3.305,3.335
2023,3.360,3.347,3.321,3.304,3.333
2024,3.348,3.353,3.320,3.313,3.334
2025,NaN,NaN,NaN,NaN,NaN
